fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
1001,"Autauga County, Alabama",Alabama,95170.0,721.0,7.575916780498057,7.575916780498057
1003,"Baldwin County, Alabama",Alabama,362490.0,2833.0,7.815388010703742,7.815388010703742
1005,"Barbour County, Alabama",Alabama,39440.0,360.0,9.127789046653144,9.127789046653144
1007,"Bibb County, Alabama",Alabama,31840.0,260.0,8.165829145728644,8.165829145728644
1009,"Blount County, Alabama",Alabama,87970.0,673.0,7.650335341593724,7.650335341593724
1011,"Bullock County, Alabama",Alabama,15420.0,150.0,9.727626459143972,9.727626459143972
1013,"Butler County, Alabama",Alabama,33180.0,304.0,9.162145871006631,9.162145871006631
1015,"Calhoun County, Alabama",Alabama,192220.0,1531.0,7.964831963375298,7.964831963375298
1017,"Chambers County, Alabama",Alabama,59140.0,533.0,9.012512681772066,9.012512681772066
1019,"Cherokee County, Alabama",Alabama,36800.0,304.0,8.26086956521739,8.26086956521739
1021,"Chilton County, Alabama",Alabama,69470.0,561.0,8.075428242406796,8.075428242406796
1023,"Choctaw County, Alabama",Alabama,20820.0,177.0,8.501440922190202,8.501440922190202
1025,"Clarke County, Alabama",Alabama,41130.0,359.0,8.728422076343303,8.728422076343303
1027,"Clay County, Alabama",Alabama,22090.0,189.0,8.555907650520597,8.555907650520597
1029,"Cleburne County, Alabama",Alabama,22790.0,182.0,7.9859587538394035,7.9859587538394035
1031,"Coffee County, Alabama",Alabama,84040.0,655.0,7.79390766301761,7.79390766301761
1033,"Colbert County, Alabama",Alabama,94820.0,735.0,7.751529213246151,7.751529213246151
1035,"Conecuh County, Alabama",Alabama,19790.0,185.0,9.348155634158664,9.348155634158664
1037,"Coosa County, Alabama",Alabama,15990.0,132.0,8.25515947467167,8.25515947467167
1039,"Covington County, Alabama",Alabama,60260.0,517.0,8.579488881513441,8.579488881513441
1041,"Crenshaw County, Alabama",Alabama,23020.0,202.0,8.774978279756732,8.774978279756732
1043,"Cullman County, Alabama",Alabama,132930.0,1038.0,7.808621078763259,7.808621078763259
1045,"Dale County, Alabama",Alabama,80490.0,659.0,8.187352466144862,8.187352466144862
1047,"Dallas County, Alabama",Alabama,66530.0,675.0,10.145798887719828,10.145798887719828
1049,"DeKalb County, Alabama",Alabama,106630.0,893.0,8.374753821626184,8.374753821626184
1051,"Elmore County, Alabama",Alabama,138920.0,1068.0,7.687877915346963,7.687877915346963
1053,"Escambia County, Alabama",Alabama,57720.0,504.0,8.731808731808734,8.731808731808734
1055,"Etowah County, Alabama",Alabama,167750.0,1381.0,8.232488822652758,8.232488822652758
1057,"Fayette County, Alabama",Alabama,25110.0,208.0,8.283552369573874,8.283552369573874
1059,"Franklin County, Alabama",Alabama,49640.0,404.0,8.13859790491539,8.13859790491539
1061,"Geneva County, Alabama",Alabama,41180.0,358.0,8.693540553666828,8.693540553666828
1063,"Greene County, Alabama",Alabama,13760.0,150.0,10.901162790697676,10.901162790697676
1065,"Hale County, Alabama",Alabama,25630.0,237.0,9.246976199765898,9.246976199765898
1067,"Henry County, Alabama",Alabama,28260.0,241.0,8.527954706298656,8.527954706298656
1069,"Houston County, Alabama",Alabama,179410.0,1528.0,8.516805083328688,8.516805083328688
1071,"Jackson County, Alabama",Alabama,84950.0,678.0,7.981165391406709,7.981165391406709
1073,"Jefferson County, Alabama",Alabama,1184300.0,9899.0,8.358524022629403,8.358524022629403
1075,"Lamar County, Alabama",Alabama,21330.0,181.0,8.485700890764182,8.485700890764182
1077,"Lauderdale County, Alabama",Alabama,152590.0,1158.0,7.588963890163183,7.588963890163183
1079,"Lawrence County, Alabama",Alabama,54200.0,427.0,7.878228782287822,7.878228782287822
1081,"Lee County, Alabama",Alabama,245810.0,1944.0,7.908547251942557,7.908547251942557
1083,"Limestone County, Alabama",Alabama,149580.0,1125.0,7.521058965102286,7.521058965102286
1085,"Lowndes County, Alabama",Alabama,19930.0,202.0,10.135474159558457,10.135474159558457
1087,"Macon County, Alabama",Alabama,32790.0,302.0,9.210125038121381,9.210125038121381
