fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk,CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1001,"Autauga County, Alabama",Alabama,95170.0,721.0,7.575916780498058,7.575916780498058,1001.0,Alabama,Autauga,55221.0,26745.0,28476.0,2.6,75.8,18.5,0.4,1.0,0.0,40725.0,51281.0,2391.0,24974.0,1080.0,12.9,18.6,33.2,17.0,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.3,1.8,26.5,23986.0,73.6,20.9,5.5,0.0,7.6
1003,"Baldwin County, Alabama",Alabama,362490.0,2833.0,7.815388010703742,7.815388010703742,1003.0,Alabama,Baldwin,195121.0,95314.0,99807.0,4.5,83.1,9.5,0.6,0.7,0.0,147695.0,50254.0,1263.0,27317.0,711.0,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1.0,1.4,3.9,26.4,85953.0,81.5,12.3,5.8,0.4,7.5
1005,"Barbour County, Alabama",Alabama,39440.0,360.0,9.127789046653144,9.127789046653144,1005.0,Alabama,Barbour,26932.0,14497.0,12435.0,4.6,46.2,46.7,0.2,0.4,0.0,20714.0,32964.0,2973.0,16824.0,798.0,26.7,45.3,26.8,16.1,23.1,10.8,23.1,83.8,10.9,0.4,1.8,1.5,1.6,24.1,8597.0,71.8,20.8,7.3,0.1,17.6
1007,"Bibb County, Alabama",Alabama,31840.0,260.0,8.165829145728644,8.165829145728644,1007.0,Alabama,Bibb,22604.0,12073.0,10531.0,2.2,74.5,21.4,0.4,0.1,0.0,17495.0,38678.0,3995.0,18431.0,1618.0,16.8,27.9,21.5,17.9,17.8,19.0,23.7,83.2,13.5,0.5,0.6,1.5,0.7,28.8,8294.0,76.8,16.1,6.7,0.4,8.3
1009,"Blount County, Alabama",Alabama,87970.0,673.0,7.650335341593723,7.650335341593723,1009.0,Alabama,Blount,57710.0,28512.0,29198.0,8.6,87.9,1.5,0.3,0.1,0.0,42345.0,45813.0,3141.0,20532.0,708.0,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,0.4,2.3,34.9,22189.0,82.0,13.5,4.2,0.4,7.7
1011,"Bullock County, Alabama",Alabama,15420.0,150.0,9.727626459143972,9.727626459143972,1011.0,Alabama,Bullock,10678.0,5660.0,5018.0,4.4,22.2,70.7,1.2,0.2,0.0,8057.0,31938.0,5884.0,17580.0,2055.0,24.6,38.4,18.8,15.0,19.7,20.1,26.4,74.9,14.9,0.7,5.0,1.7,2.8,27.5,3865.0,79.5,15.1,5.4,0.0,18.0
1013,"Butler County, Alabama",Alabama,33180.0,304.0,9.162145871006633,9.162145871006633,1013.0,Alabama,Butler,20354.0,9502.0,10852.0,1.2,53.3,43.8,0.1,0.4,0.0,15581.0,32229.0,1793.0,18390.0,714.0,25.4,39.2,27.5,16.6,21.9,10.3,23.7,84.5,12.4,0.0,0.8,0.6,1.7,24.6,7813.0,77.4,16.2,6.2,0.2,10.9
1015,"Calhoun County, Alabama",Alabama,192220.0,1531.0,7.964831963375298,7.964831963375298,1015.0,Alabama,Calhoun,116648.0,56274.0,60374.0,3.5,73.0,20.3,0.2,0.9,0.0,88612.0,41703.0,925.0,21374.0,489.0,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,1.2,2.7,24.1,47401.0,74.1,20.8,5.0,0.1,12.3
1017,"Chambers County, Alabama",Alabama,59140.0,533.0,9.012512681772066,9.012512681772066,1017.0,Alabama,Chambers,34079.0,16258.0,17821.0,0.4,57.3,40.3,0.2,0.8,0.0,26462.0,34177.0,2949.0,21071.0,1366.0,21.6,37.2,23.3,14.5,26.3,11.5,24.4,85.1,11.9,0.2,0.3,0.4,2.1,25.1,13689.0,85.1,12.1,2.8,0.0,8.9
1019,"Cherokee County, Alabama",Alabama,36800.0,304.0,8.26086956521739,8.26086956521739,1019.0,Alabama,Cherokee,26008.0,12975.0,13033.0,1.5,91.7,4.8,0.6,0.3,0.0,20600.0,36296.0,1710.0,21811.0,1556.0,19.2,30.1,29.3,16.0,19.5,13.7,21.5,83.9,12.1,0.2,0.6,0.7,2.5,27.4,10155.0,73.1,18.5,7.9,0.5,7.9
1021,"Chilton County, Alabama",Alabama,69470.0,561.0,8.075428242406796,8.075428242406796,1021.0,Alabama,Chilton,43819.0,21619.0,22200.0,7.6,80.5,10.2,0.4,0.3,0.0,31728.0,41627.0,2025.0,21399.0,1446.0,19.1,30.6,27.2,14.3,23.7,15.3,19.5,81.2,14.2,0.2,1.1,1.4,1.9,32.0,17895.0,80.3,15.2,4.1,0.5,9.1
1023,"Choctaw County, Alabama",Alabama,20820.0,177.0,8.501440922190202,8.501440922190202,1023.0,Alabama,Choctaw,13395.0,6382.0,7013.0,0.4,55.9,42.9,0.0,0.0,0.0,10568.0,33536.0,2231.0,20755.0,1380.0,23.4,34.4,24.9,15.4,19.6,18.3,21.8,85.5,10.3,0.1,1.9,1.4,0.8,30.7,4405.0,77.5,16.8,5.4,0.3,13.6
1025,"Clarke County, Alabama",Alabama,41130.0,359.0,8.728422076343303,8.728422076343303,1025.0,Alabama,Clarke,25070.0,11834.0,13236.0,0.3,53.4,45.3,0.0,0.4,0.4,19258.0,32011.0,3088.0,20064.0,1469.0,24.7,29.8,21.1,15.0,25.5,11.6,26.9,82.0,12.8,0.2,1.3,2.6,1.1,23.0,8161.0,83.1,13.6,3.3,0.0,19.4
1027,"Clay County, Alabama",Alabama,22090.0,189.0,8.555907650520597,8.555907650520597,1027.0,Alabama,Clay,13537.0,6671.0,6866.0,3.2,79.9,14.4,0.7,0.0,0.0,10312.0,35327.0,4517.0,18905.0,1067.0,16.7,22.5,21.5,13.3,20.8,15.3,29.1,84.3,10.4,0.6,1.8,0.9,2.1,30.3,5180.0,77.5,14.7,7.8,0.0,9.4
1029,"Cleburne County, Alabama",Alabama,22790.0,182.0,7.9859587538394035,7.9859587538394035,1029.0,Alabama,Cleburne,15002.0,7334.0,7668.0,2.3,92.5,2.9,0.2,0.4,0.0,11367.0,38056.0,3883.0,20151.0,1357.0,17.0,26.3,28.9,11.7,23.1,15.6,20.7,77.6,17.7,0.1,0.2,1.0,3.4,33.3,6065.0,76.3,15.3,8.4,0.0,8.3
1031,"Coffee County, Alabama",Alabama,84040.0,655.0,7.7939076630176105,7.7939076630176105,1031.0,Alabama,Coffee,50884.0,25174.0,25710.0,6.4,71.5,17.2,0.8,1.2,0.0,37575.0,46729.0,2066.0,24936.0,854.0,17.1,26.4,32.2,18.6,22.7,12.1,14.5,85.3,9.6,0.1,1.0,1.3,2.8,20.9,20912.0,70.3,23.5,5.7,0.5,7.1
1033,"Colbert County, Alabama",Alabama,94820.0,735.0,7.751529213246151,7.751529213246151,1033.0,Alabama,Colbert,54444.0,26303.0,28141.0,2.4,78.9,15.6,0.6,0.3,0.1,42075.0,40576.0,2536.0,22546.0,917.0,17.4,26.1,27.3,15.5,25.7,10.7,20.7,90.7,6.0,0.2,0.9,0.7,1.5,22.8,21290.0,78.6,16.1,5.2,0.0,9.0
